NAME	S	BETX	BETY
DS	254.34	7.193606984	13.33549846
B	255.4595	10.38845701	9.500356763
O2	256.509	14.15595686	6.69749841
F7	257.1665	15.55145707	5.835006535
O1	257.733	13.93508638	6.364631543
FS	257.914	13.06276303	6.735689323
B	259.0335	8.401074613	9.479380206
OM	260.027	5.311740784	12.56955631
RP	260.082	5.16973902	12.75865943
OM	260.137	5.030815721	12.94965218
D7	260.739	4.032380639	14.0797859
O1	261.306	3.970913065	12.94732686
DS	261.487	4.083294499	12.28754508
B	262.6065	5.168232638	8.709786979
O2	263.656	6.793071883	6.134291589
F7	264.3135	7.46501808	5.367279249
O1	264.88	6.757799044	5.898590385
FS	265.061	6.371230786	6.260357995
B	266.1805	4.44918134	8.977978313
OM	267.174	3.423614994	12.08060818
RP	267.229	3.385629605	12.27134981
OM	267.284	3.349633258	12.46408239
I11	267.39	3.285869226	12.84114674
NIL4	267.595	3.242073333	13.34917316
I10	267.9185	3.613320619	12.63123574
NIM4	268.429	4.475141541	11.21334863
NIM4A	268.89	5.448104868	10.02509565
NIM4	269.351	6.593717959	8.951385566
I09	270.4525	10.07815702	6.778841311
NIL3	271.367	13.48283957	5.55325434
I08	271.544	13.1781212	5.789203436
NIP2	271.587	13.03918855	5.8776969
I07	271.642	12.86296829	5.992788586
NIZ1	271.772	12.45307057	6.273311803
I06	271.981	11.8135921	6.749313311
NIM3	272.436	10.50717178	7.888217627
NIM3A	272.897	9.306611484	9.175552207
NIM3	273.358	8.206416306	10.6191602
I05	273.831	7.205764035	12.23341988
NIL2	274.117	6.787498899	13.03856142
I04	274.403	7.153310772	12.4442178
NIM2	274.876	8.058597621	11.14247694
NIM2A	275.337	9.055725415	9.96040299
NIM2	275.798	10.14383703	8.893560316
I03	277.136	13.93314738	6.349571453
NIL1	278.287	17.57771148	4.980360818
I02	278.461	16.93522996	5.185022991
NIP1	278.501	16.71420444	5.257199522
I01	279.0155	14.01765478	6.284691513
NIM1	279.851	10.21977954	8.340435363
NIM1A	280.312	8.437769397	9.661809091
NIM1	280.773	6.856300074	11.13825967
I00	281.3635	5.157214193	13.20905441
D7	282.18	3.695673221	15.26879378
O1	282.747	3.652438915	14.05519534
